SINGLE;GREEDY_15;GREEDY_30
70.5222;49.455;50.1974
89.9714;49.7466;49.5233
84.4227;48.9598;49.0017
146.463;49.6057;50.7116
74.8287;48.9286;49.1141
48.637;48.6588;48.7313
67.6931;50.8981;49.3442
88.8818;49.8142;50.5514
48.6745;48.6802;48.7586
48.6458;48.6551;48.8281
48.6298;48.6479;48.7726
48.7122;48.7138;48.8337
217.519;51.5103;49.1096
48.6387;48.6421;49.0113
48.635;48.718;48.8251
48.652;48.6474;48.7664
290.91;52.0417;49.4948
48.7109;48.6959;48.7232
48.6489;48.6514;48.7288
48.7;48.7539;49.4648
48.6331;48.6535;48.7205
144.766;48.9966;48.7103
48.6967;48.7057;48.9285
48.6524;48.6551;48.8093
48.6275;48.6507;49.0533
48.6779;48.6862;49.0789
88.6772;57.4267;53.1925
48.6442;48.6466;48.8258
48.6597;48.6757;49.0675
48.658;48.6505;48.7264
48.7543;48.6697;48.8377
48.7184;48.7268;48.735
48.6667;48.6777;48.8641
48.6479;48.659;49.0134
48.695;48.6995;48.8376
48.6472;48.6921;48.961
48.7188;48.7314;48.9346
48.648;48.6701;49.0549
48.6492;48.6847;49.1607
249.974;49.5585;49.4232
48.6914;48.7289;49.042
48.6792;48.6751;48.7305
77.8132;48.7775;49.3427
48.6281;48.6504;48.8817
85.8322;49.797;50.6399
48.6493;48.6944;48.8337
48.6485;48.6516;48.7736
48.7137;48.7329;48.8401
76.9171;56.1225;50.2775
48.686;48.6914;48.7174
