50;100;150;200;250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000
60.6463;66.9816;68.5823;118.34;120.248;61.6887;58.5676;102.5;62.4495;123.81;48.8669;48.8423;48.8608;55.6853;61.6584;48.8218;58.7608;48.821;48.7952;48.7962
