SINGLE;GREEDY_15;GREEDY_30
98.4992;63.8125;42.7671
45.9167;42.0004;42.5528
48.7643;36.3655;32.8186
28.9026;31.9965;36.2556
37.3462;29.6947;31.1107
48.7381;51.5785;40.2757
57.8903;29.2532;37.3465
77.7893;59.1202;46.7431
188.967;51.5591;47.7498
39.6335;44.3856;33.0086
44.6811;25.0397;26.7377
47.0951;40.6957;32.4921
62.2637;35.8049;35.3394
64.4402;33.8337;38.606
36.3622;51.9416;40.1927
65.4339;43.9326;51.8749
109.723;46.3027;35.3326
72.6484;35.7295;33.7058
47.4238;35.3365;26.2304
25.3718;29.0014;22.3503
48.453;24.7408;34.0045
74.8821;44.7611;45.5458
30.0443;40.4136;42.9925
34.8585;38.8361;30.3504
41.2478;38.3364;43.2902
55.1144;45.9968;32.1339
57.7881;27.202;26.7973
81.1993;57.1132;50.9506
33.2649;43.8403;34.0625
45.5988;39.2492;40.8355
37.9091;43.0705;49.4498
25.4598;30.1781;24.5341
92.1103;43.7818;50.005
63.378;51.9488;47.5174
29.4939;41.4264;41.6406
194.641;48.9074;55.091
29.3357;44.4488;53.2854
55.8367;39.5017;29.3611
73.6836;36.2947;40.0943
52.1952;47.5681;35.2156
39.901;56.4445;61.8994
87.6587;36.5541;27.1516
129.088;53.9751;42.7662
64.3347;28.1885;26.0075
54.0276;35.6008;26.9094
54.1082;43.0314;52.9709
41.693;25.6276;27.143
83.0326;47.5789;47.1245
90.2882;45.4515;44.7727
88.7549;43.1334;39.5274
