SINGLE;GREEDY_15;GREEDY_30
26.7308;31.6902;25.0832
26.479;24.5346;26.4137
26.821;24.6079;22.715
29.0638;29.8932;30.3164
139.992;25.7628;28.5488
69.1073;23.7917;31.0536
27.5909;26.3921;24.3735
58.4161;26.7424;24.3078
37.9714;24.3148;28.8241
67.5228;45.5369;27.4726
42.8041;35.1934;28.254
26.3023;25.6338;23.7317
41.5571;33.0447;28.2297
46.4324;24.6786;23.3219
30.9794;26.0372;24.4884
67.9986;27.9163;26.1689
34.5613;27.7057;29.7516
26.9288;25.5068;30.509
58.7945;33.2665;32.4507
31.1734;31.1179;24.6919
26.4941;25.5384;24.8786
36.6201;35.8012;30.0274
124.551;30.2495;28.3034
33.6356;22.2516;67.0197
38.8815;24.5825;23.4424
27.7677;26.1118;21.9256
25.1708;23.8045;24.0968
66.4405;29.8167;40.297
39.683;25.1483;24.9377
68.6904;64.6613;49.3845
28.7214;37.1006;27.0264
33.1433;26.1723;26.8409
26.3836;24.5193;25.7445
28.2995;25.6944;23.6352
46.5705;33.6369;30.406
99.8909;33.124;28.4429
155.418;25.8821;24.6542
34.9884;25.5996;26.7795
29.3336;27.7673;28.583
26.1425;48.5442;31.7505
41.9287;32.6336;30.111
28.8454;29.5716;22.1255
53.9668;23.0218;20.6449
28.7094;35.4314;25.6242
25.6475;26.8691;24.265
27.4712;26.8092;30.659
27.0121;27.1329;39.9511
47.945;27.3122;29.0854
28.7404;24.0339;22.6247
145.065;40.6382;40.3853
