ALL;SMALL;MAX_IMV;K_MEDOIDS;AFFINITY;MAX_IMV_OUT;AFFINITY_NORM
121.096;125.45;112.731;122.371;122.827;112.731;119.866
101.452;103.683;100.824;100.427;100.762;100.824;100.694
114.777;126.394;110.71;110.434;110.533;112.597;110.524
114.951;135.409;103.432;105.989;105.019;103.502;105.921
115.606;114.972;109.656;114.106;114.931;109.656;112.46
110.87;112.387;111.463;109.792;111.029;111.575;111.029
103.375;105.968;99.8037;106.386;105.538;99.8037;99.8111
112.024;119.15;109.869;109.205;110.33;109.869;106.856
108.233;114.711;106.884;110.252;110.291;106.884;109.1
100.575;106.546;103.383;98.5631;98.139;103.383;98.579
