SINGLE;GREEDY_15;GREEDY_30
296.773;203.734;144.965
679.27;241.701;293.391
282.458;243.813;203.872
673.444;290.12;326.891
514.834;316.795;339.289
557.898;225.34;242.992
425.012;155.6;247.622
215.313;140.044;226.444
393.565;188.749;210.142
411.1;273.303;315.782
511.533;214.169;298.394
564.043;194.146;244.689
425.192;338.033;299.453
525.554;150.226;234.26
729.464;146.047;217.62
329.295;139.606;207.625
1101.2;291.666;360.316
1159.06;249.476;251.426
544.803;334.492;340.411
469.678;237.557;170.926
401.765;174.288;258.241
504.867;196.634;260.436
1046.79;306.174;288.234
499.033;273.775;274.043
443.183;183.947;207.779
796.1;449.395;313.569
506.045;323.16;260.867
426.421;163.109;268.809
450.192;324.745;222.452
188.847;124.368;181.83
524.618;128.756;272.075
543.089;211.688;171.878
813.641;289.042;268.485
426.311;243.819;282.727
766.899;247.941;283.211
724.988;136.9;139.728
514.011;281.604;275.509
411.06;173.793;201.832
325.954;259.194;270.462
455.1;287.865;378.992
731.941;291.616;164.574
740.482;239.33;214.363
119.096;134.384;182.463
501.104;258.219;253.357
209.337;139.213;155.458
432.908;156.434;236.564
595.553;125.606;278.362
498.879;320.648;184.114
865.912;471.998;378.031
209.74;147.246;188.455
