SINGLE;GREEDY_15;GREEDY_30
81.5735;94.4087;108.438
166.04;109.17;121.307
197.369;111.938;107.868
213.025;96.9057;106.68
139.231;131.87;116.5
81.7041;86.1315;98.0768
126.247;114.433;111.994
189.143;90.203;102.118
163.764;84.8539;105.572
181.397;112.711;99.0954
141.876;88.7445;90.9281
177.263;105.364;113.624
182.287;87.6126;110.786
195.662;85.6873;86.4245
309.405;109.072;107.133
192.454;107.794;110.545
270.344;111.631;105.171
82.6383;83.2663;95.317
162.761;100.297;123.285
218.855;124.01;120.0
244.642;121.371;115.799
92.8504;98.4227;103.989
187.064;121.915;115.237
213.871;127.885;110.964
208.626;120.488;113.21
175.638;106.324;116.093
196.838;104.437;101.343
81.6493;83.1956;87.4687
223.824;135.199;121.487
196.557;103.601;104.967
156.623;130.932;123.918
324.575;110.838;127.39
81.3266;82.5805;89.3899
179.844;122.176;122.269
325.251;100.979;110.156
117.416;95.8985;97.7239
140.168;100.618;98.6172
145.861;115.294;102.144
187.87;120.37;125.87
240.736;88.5305;97.4743
82.7314;86.5741;100.39
392.164;117.788;108.281
194.122;109.353;114.846
156.037;125.003;110.413
181.934;93.679;106.106
187.798;93.5968;95.1993
250.696;120.786;98.907
178.971;124.886;115.665
82.1028;85.0547;94.9495
135.778;115.693;109.089
