ALL;SMALL;MAX_IMV;K_MEDOIDS;AFFINITY;MAX_IMV_OUT;AFFINITY_NORM
206.963;276.574;162.11;195.461;190.066;162.11;163.367
262.334;261.755;221.706;295.272;300.353;221.706;300.353
235.412;247.116;206.775;268.581;249.657;206.775;246.435
256.558;200.498;246.852;207.137;461.298;195.813;321.381
179.966;187.885;171.29;159.247;162.537;171.29;161.932
275.437;256.723;232.633;267.734;281.48;232.633;250.595
338.42;406.366;278.8;369.75;414.492;278.8;306.228
248.514;287.402;199.259;260.064;252.576;199.259;227.826
287.464;357.643;224.169;296.432;344.325;228.579;250.104
176.772;173.775;151.688;168.377;180.779;151.688;156.203
